KC478985.1 |Influenza B virus (B/Ontario/0004547/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-02-08
KC478994.1 |Influenza B virus (B/Ontario/0003960/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-01-03
KC478982.1 |Influenza B virus (B/Ontario/0003959/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-01-31
KC478981.1 |Influenza B virus (B/Ontario/0003689/2012) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Canada|2013-02-20|2012-01-11
HQ695929.1 |Influenza B virus (B/Lipetsk/14/2002) segment 6 neuraminidase (NA) gene, complete cds|6||Russia|2011-05-09|2002
JF965352.1 |Influenza B virus (B/Kol/N-2121/2010) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2010-01-22
JF965368.1 |Influenza B virus (B/Kol/N-2121/2010) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2010-01-22
JF965351.1 |Influenza B virus (B/Kol/N-2047/2009) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2009-12-12
JF965367.1 |Influenza B virus (B/Kol/N-2047/2009) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2009-12-12
JF965350.1 |Influenza B virus (B/Kol/N-2000/2009) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2009-11-14
JF965366.1 |Influenza B virus (B/Kol/N-2000/2009) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2009-11-14
JF965342.1 |Influenza B virus (B/Kol/673/2006) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2006-12-05
JF965358.1 |Influenza B virus (B/Kol/673/2006) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2006-12-05
JF965341.1 |Influenza B virus (B/Kol/667/2006) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2006-12-04
JF965357.1 |Influenza B virus (B/Kol/667/2006) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2006-12-04
JF965340.1 |Influenza B virus (B/Kol/515/2006) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2006-09-20
JF965356.1 |Influenza B virus (B/Kol/515/2006) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2006-09-20
JF965355.1 |Influenza B virus (B/Kol/273/2010) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2010-04-08
JF965371.1 |Influenza B virus (B/Kol/273/2010) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2010-04-08
JF965349.1 |Influenza B virus (B/Kol/2546/2009) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2009-11-17
JF965365.1 |Influenza B virus (B/Kol/2546/2009) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2009-11-17
JF965354.1 |Influenza B virus (B/Kol/222/2010) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2010-03-24
JF965370.1 |Influenza B virus (B/Kol/222/2010) segment 6 neuraminidase (NA) gene, complete cds|6||India|2011-10-10|2010-03-24
JF965348.1 |Influenza B virus (B/Kol/2024/2008) segment 4 hemagglutinin (HA) gene, complete cds|4||India|2011-10-10|2008-09-25
